Timestamp,Latitude,Longitude,Vehicle_Count,Traffic_Speed_kmh,Road_Occupancy_%,Traffic_Light_State,Weather_Condition,Accident_Report,Sentiment_Score,Ride_Sharing_Demand,Parking_Availability,Emission_Levels_g_km,Energy_Consumption_L_h,Traffic_Condition
2024-03-01 00:00:00,40.842275292891834,-73.70314869323049,205.0,49.89343479610332,82.65277992850861,Yellow,Clear,0.0,-0.6091990900689384,2.0,45.0,450.7600550695179,19.57433652960039,High
2024-03-01 00:05:00,40.8311193987152,-73.9873540904415,202.0,22.383964870087855,45.82929780270145,Green,Clear,0.0,0.965442369948869,16.0,1.0,321.8003405168867,5.385553512193732,High
2024-03-01 00:10:00,40.81954876392327,-73.73246185831279,252.0,46.88969943933488,82.77246480269831,Green,Rain,0.0,0.2896603158283986,16.0,49.0,231.1526548042294,10.277477486419944,High
2024-03-01 00:15:00,40.72584887921568,-73.98013411315877,37.0,5.73053642288215,37.69556743980888,Red,Fog,0.0,-0.2719647381913392,66.0,10.0,410.3842921098877,29.243279449960266,High
2024-03-01 00:20:00,40.81326467769622,-73.96163054358502,64.0,61.34803435570192,22.31335794983795,Red,Snow,0.0,-0.7976056171199948,3.0,5.0,364.4663416875681,16.801458761149803,Low
2024-03-01 00:25:00,40.64111174659454,-73.82509533565383,125.0,9.15074562077742,72.79990343468822,Green,Clear,0.0,-0.5946363258437672,78.0,27.0,349.0453075341282,29.805841938330232,High
2024-03-01 00:30:00,40.797138602855775,-73.79744494323391,125.0,9.162774286317184,34.182018012741636,Green,Snow,0.0,0.5442838486792319,21.0,42.0,363.7459309898909,18.890578675520043,High
2024-03-01 00:35:00,40.81236201552322,-73.80175125224379,130.0,40.993622396031405,40.427932319372374,Yellow,Clear,0.0,0.7440578886965032,92.0,22.0,82.19081477288391,12.117573134703528,Medium
2024-03-01 00:40:00,40.717006277985334,-73.78956236690148,67.0,73.90533684403202,80.60737469182321,Green,Clear,0.0,-0.4399310045244551,27.0,4.0,477.2324199553466,17.22367898264705,High
2024-03-01 00:45:00,40.87236437726417,,12.0,65.53559165495976,47.11495674614308,Green,Fog,0.0,0.5666006957850183,28.0,8.0,56.865403561767266,13.04474290683431,Low
2024-03-01 00:50:00,40.72249548994771,-73.83021193413559,,60.481377184050814,56.001738449270526,Green,Fog,0.0,0.6664657071865467,77.0,39.0,295.9050841290863,18.446978633014034,Medium
2024-03-01 00:55:00,40.79353376270334,-73.98380906075664,12.0,38.73987429516659,69.65316330616227,Green,Fog,0.0,0.7141623836873849,14.0,2.0,179.55588051529534,22.226653546783027,Medium
2024-03-01 01:00:00,40.89474426796246,-73.74201042789959,97.0,61.94792468231577,17.328211252878866,Red,,0.0,-0.4160295300566128,70.0,12.0,157.00581313571243,7.226278360692663,Low
2024-03-01 01:05:00,40.82852824860497,-73.740942038757,265.0,64.42220656036997,94.97458762743562,Yellow,Rain,0.0,-0.509843380609708,72.0,24.0,323.52502528496336,16.808287514257266,High
2024-03-01 01:10:00,40.64996313506776,-73.96601803074172,187.0,24.435895690008063,47.48922185752585,Red,Snow,0.0,0.3623683878276231,83.0,36.0,351.410216996325,7.264291396576307,Medium
2024-03-01 01:15:00,40.84620305175721,-73.88224990080543,139.0,21.67302311052592,45.857087741282875,Red,Clear,0.0,0.7311004064796309,25.0,8.0,421.73816741660187,7.12983667274067,Medium
2024-03-01 01:20:00,40.735330932085944,-73.92847504458499,298.0,39.8146802697647,73.0033476502656,Green,Snow,0.0,0.3020293127957278,34.0,39.0,108.97478132734614,20.30003674919476,High
2024-03-01 01:25:00,40.65288136201104,-73.84149222739376,168.0,71.17270013565329,90.3311355095128,Red,Snow,0.0,-0.1871333686058931,33.0,6.0,122.32794699154114,29.551370001069635,High
2024-03-01 01:30:00,40.75553084654906,-73.80884496929514,188.0,50.22358935829257,,Yellow,Rain,0.0,-0.7701418177688828,35.0,47.0,391.9104428862423,11.82297830383838,High
2024-03-01 01:35:00,40.72540504944828,-73.98032961025936,176.0,19.51636298845032,89.38515987287367,,Snow,0.0,0.3865153779002392,80.0,10.0,106.8701080690732,18.44268948648869,High
2024-03-01 01:40:00,40.762042045927856,-73.79413576366532,38.0,60.81684312012823,48.5543592082827,Red,Clear,0.0,0.2155134762549486,25.0,39.0,182.07658609405055,18.188052384304385,Low
,40.868216704202474,-73.97079464706162,113.0,36.09859481632135,82.04990255159494,Green,Clear,0.0,-0.7653051192371645,32.0,7.0,470.3349269243291,8.304640100191714,High
2024-03-01 01:50:00,40.76353773977935,-73.74218839187681,56.0,57.38454322166173,24.764000188126225,Green,Rain,0.0,-0.8891883051351825,35.0,34.0,263.2759892873477,20.718723109662093,Low
,40.86608116490231,-73.96230427102891,114.0,79.99755567864995,25.02061511790715,Yellow,Rain,0.0,0.552604021206045,95.0,10.0,192.10991670597215,7.2327914211873745,Medium
2024-03-01 02:00:00,40.86982813220531,-73.81569064335004,,71.09147217572958,78.95197163446714,Yellow,Clear,0.0,0.1908277492646515,91.0,2.0,234.09635550389484,20.24696728592339,Medium
2024-03-01 02:05:00,40.631739340636074,-73.80265007833458,80.0,47.49605859316661,63.05449092372216,Red,Clear,0.0,-0.5591570107296344,42.0,27.0,351.9970574018992,16.222708241505984,Medium
